R,<dΨ1/dr|dΨ1/dr>,<1|d/dr|2>,<dΨ1/dr|dΨ2/dr>,<dΨ2/dr|dΨ2/dr>
1.0,3.1012976617982986e-13,4.428723960357358e-7,-0.0,3.1012976617982986e-13
1.0195876288659793,5.544306026215336e-13,5.921482946260846e-7,-0.0,5.544306026215336e-13
1.0391752577319586,9.915825552656573e-13,7.919017903152349e-7,-0.0,9.915825552656573e-13
1.0587628865979382,1.7742578511252937e-12,1.0592909301697868e-6,-0.0,1.7742578511252937e-12
1.0783505154639175,3.1759451562910168e-12,1.4172399404947752e-6,-0.0,3.1759451562910168e-12
1.0979381443298968,5.68767571311611e-12,1.8965936814860068e-6,-0.0,5.68767571311611e-12
1.1175257731958763,1.0190770249043011e-11,2.5386942024313777e-6,-0.0,1.0190770249043011e-11
1.1371134020618556,1.82683371940122e-11,3.3990409402208755e-6,-0.0,1.82683371940122e-11
1.156701030927835,3.276581517841863e-11,4.5521584933902165e-6,-0.0,3.276581517841863e-11
1.1762886597938145,5.880086578060226e-11,6.098159035912338e-6,-0.0,5.880086578060226e-11
1.1958762886597938,1.0558418321974829e-10,8.171585296015224e-6,-0.0,1.0558418321974829e-10
1.215463917525773,1.8970504459465173e-10,1.0953333873942152e-5,-0.0,1.8970504459465173e-10
1.2350515463917526,3.4106501782518313e-10,1.468674229823903e-5,-0.0,3.4106501782518313e-10
1.254639175257732,6.136040336559656e-10,1.9699308835832137e-5,-0.0,6.136040336559656e-10
1.2742268041237113,1.1047081571544241e-9,2.6432038996987003e-5,-0.0,1.1047081571544241e-9
1.2938144329896908,1.990362164131351e-9,3.547912819300504e-5,-0.0,1.990362164131351e-9
1.31340206185567,3.5888897860709443e-9,4.764166672429085e-5,-0.0,3.5888897860709443e-9
1.3329896907216494,6.476665247576784e-9,6.400038865383795e-5,-0.0,6.476665247576784e-9
1.352577319587629,1.1698433163936594e-8,8.601431499765045e-5,-0.0,1.1698433163936594e-8
1.3721649484536083,2.1150100427108078e-8,0.00011565465112911874,-0.0,2.1150100427108078e-8
1.3917525773195876,3.8276431258268505e-8,0.00015558674872955414,-0.0,3.8276431258268505e-8
