R,<1|SO|3>,<2|SO|3>
1.0,93.50657661768503,-29.724217493594004
1.0195876288659793,94.16208924644297,-27.840635654966892
1.0391752577319586,94.78993889801735,-25.79006560638577
1.0587628865979382,95.37181996319538,-23.655778750634877
1.0783505154639175,95.88942683276426,-21.52104649049855
1.0979381443298968,96.3244538975113,-19.46914022876104
1.1175257731958763,96.66334931072474,-17.59577510201273
1.1371134020618556,96.89624594235305,-16.07173583211879
1.156701030927835,97.08180156087325,-15.206273696289271
1.1762886597938145,97.35244043800769,-15.33655131001645
1.1958762886597938,97.152008851796,-16.10307441923934
1.215463917525773,96.97343881523112,-17.08410006953281
1.2350515463917526,96.93914677608477,-18.17028246804978
1.254639175257732,96.84858247643636,-19.326798082764267
1.2742268041237113,96.69913160622431,-20.53363352612164
1.2938144329896908,96.49862783506224,-21.776627981250805
1.31340206185567,96.2848958898902,-23.043982735119318
1.3329896907216494,95.75471694561207,-24.184080175988495
1.352577319587629,95.46426170845214,-25.510517610801248
1.3721649484536083,95.12263831580961,-26.86098709512861
1.3917525773195876,94.72416733586337,-28.375385806709282
1.4113402061855669,94.3301571954382,-29.750817754226016
1.4309278350515464,93.93310393385381,-31.12225151964321
1.4505154639175257,93.52873514619061,-32.50136210706712
1.4701030927835053,93.12217396740914,-33.890858184477835
1.4896907216494846,92.71761899574649,-35.291132969610956
1.5092783505154639,92.1349267526946,-36.59179857427735
1.5288659793814432,91.74489278390722,-38.00841758819678
1.5484536082474225,91.38053587326363,-39.43959428882091
1.5680412371134018,91.03784968969113,-40.87954904582805
1.5876288659793816,90.71595361750647,-42.324991973935155
1.6072164948453609,90.41921772866054,-43.77267737738253
1.6268041237113402,90.11671188241796,-45.20298351777542
1.6463917525773195,89.92865137402866,-46.69821475300799
1.6659793814432988,89.61363203574135,-48.07780460832674
1.6855670103092784,89.61898622382155,-49.653269015541376
1.7051546391752577,89.45640482413312,-51.064054444994696
1.724742268041237,89.12997646926362,-52.289602776638795
1.7443298969072165,88.77282322607464,-53.413084870182594
1.7639175257731958,88.39676970676057,-54.47992858859532
1.7835051546391751,88.09099737129128,-55.94760558251876
1.8030927835051545,87.61439505351025,-56.4132892216647
1.822680412371134,86.97208963069491,-56.670714105045754
1.8422680412371133,86.54397153323264,-56.89232401226734
1.8618556701030928,86.11668845097223,-56.91510545745967
1.8814432989690721,85.72322888441835,-56.721163484496195
1.9010309278350515,85.3773301273774,-56.27651404520852
1.9206185567010308,84.93841790394487,-55.38876930009188
1.9402061855670103,84.8837742246169,-54.27419130727222
1.9597938144329896,85.309175986878,-52.28446126302237
1.979381443298969,86.13661115154963,-49.428410551220416
1.9989690721649485,87.83982133101499,-44.55396251241959
2.0185567010309278,92.09879279180987,-35.22807596640674
2.038144329896907,95.79605258518677,-19.92961898133886
2.0577319587628864,94.36837118667519,2.457442835635085
2.0773195876288657,87.22678923747901,28.792382637541035
2.096907216494845,79.01734657918064,50.32769251678065
2.1164948453608248,74.04727481920536,59.55296812891553
2.136082474226804,72.1223217544479,59.43310951331545
2.1556701030927834,71.26642278215809,57.06569387976797
2.175257731958763,70.27510316002476,56.59325756009704
2.1948453608247425,69.29752985367854,56.9861731689554
2.2144329896907218,68.59179759640809,56.831834479288695
2.234020618556701,68.1696305915744,55.961241510254304
2.2536082474226804,67.91135521060876,54.86858594902233
2.2731958762886597,67.72562301798207,53.88778924392658
2.292783505154639,67.59003060122414,52.964423476221114
2.3123711340206183,67.49188248400573,51.99496192793066
2.3319587628865976,67.41711497832719,50.95751081305654
2.3515463917525774,67.35069742214517,49.88798887413042
2.3711340206185567,67.28282570135755,48.813826123647154
2.390721649484536,67.22028159059776,47.73175128555721
2.4103092783505153,67.17278002540297,46.63256043536312
2.4298969072164947,67.14318318383258,45.50947418961514
2.449484536082474,67.12795523073568,44.35797681503692
2.4690721649484537,67.12375638962592,43.17409850622176
2.488659793814433,67.1291561819024,41.95585737984058
2.5082474226804123,67.14324323562798,40.70197605140597
2.5278350515463917,67.16519586543423,39.416919762942705
2.547422680412371,67.19430261318918,38.112212275089405
2.5670103092783503,67.22997718616439,36.80052640909715
2.5865979381443296,67.27233886670544,35.498799754730875
2.606185567010309,67.32176733658201,34.22551750218811
2.625773195876288,67.37864988558218,32.997409824559384
2.645360824742268,67.44338549408445,31.82835173597492
2.6649484536082473,67.51633441861723,30.731331695833042
2.6845360824742266,67.59752534795001,29.714130962406685
2.7041237113402063,67.68682166692699,28.78193870742006
2.7237113402061857,67.78396338871889,27.93874662873018
2.743298969072165,67.888425830918,27.18599268573297
2.7628865979381443,67.9996950580769,26.524742222117805
2.7824742268041236,68.11780168082886,25.95559723105031
2.802061855670103,68.24313499867468,25.478853804003343
2.821649484536082,68.3749952353221,25.094932031381944
2.8412371134020615,68.50947732007954,24.804630705662625
2.860824742268041,68.64209302378322,24.608817518865568
2.8804123711340206,68.7683541172693,24.508360163010956
2.9,68.883772371374,24.504126330119
