R,V1,V2,V3
1.0,198000.1570281083,136418.13160000008,44182.44000000001
1.0195876288659793,183351.4671813966,136418.13160000008,44182.44000000001
1.0391752577319586,169909.59696032587,136418.1316000001,44182.44000000001
1.0587628865979382,157584.7276336908,136418.13160000014,44182.44000000001
1.0783505154639175,146293.44609562276,136418.13160000014,44182.44000000001
1.0979381443298968,135958.29702635555,136418.13159999996,44182.44000000001
1.1175257731958763,126507.36605993967,136418.1315999997,44182.44000000001
1.1371134020618556,117873.89182254538,136418.1315999991,44182.44000000001
1.156701030927835,109995.90485183141,136418.13159999752,44182.44000000001
1.1762886597938145,102815.89154459577,136418.1315999944,44182.44000000001
1.1958762886597938,96280.48140727932,136418.13159998794,44182.44000000001
1.215463917525773,90340.15600251993,130553.13103330207,39603.501894564426
1.2350515463917526,84948.9780954233,123568.53649128845,34486.0635417504
1.254639175257732,80064.3396061053,117171.79549577796,30057.851920757894
1.2742268041237113,75646.72707088855,111362.74156458584,26246.089367290566
1.2938144329896908,71659.50340379485,106107.35514911331,22985.323301159984
1.31340206185567,68068.70483307523,101360.8950298587,20212.712080560897
1.3329896907216494,64842.851964949325,97075.88136547213,17870.222972903754
1.352577319587629,61952.7739988124,93205.45606679763,15893.03064130589
1.3721649484536083,59371.44518532162,89705.14736560249,14288.3369027531
1.3917525773195876,57073.8326813021,86533.56650598091,12987.413404735882
1.4113402061855669,55036.75501366742,83652.9143319584,11801.670307923088
1.4309278350515464,53238.75041878636,81029.04824634586,10991.556264770708
1.4505154639175257,51659.95437426869,78631.35134361178,10414.813000532882
1.4701030927835053,50281.985687210436,76432.68615141402,10037.37359276798
1.4896907216494846,49087.840546811036,74409.10668379148,9827.933791570083
1.5092783505154639,48061.79399017457,72539.69046261691,9770.034525016838
1.5288659793814432,47189.308268283494,70806.32628646387,9842.990325634051
1.5484536082474225,46456.9476348238,69193.51919484281,10028.613388433301
1.5680412371134018,45852.29911403414,67688.19247918787,10310.515748425356
1.5876288659793816,45363.89883536571,66279.4425195381,10684.865856029417
1.6072164948453609,44981.16355294948,64958.52855680931,11141.18121276801
1.6268041237113402,44694.32699727538,63718.534008516035,11661.483958769324
1.6463917525773195,44494.38073623266,62554.314869985246,12239.768638306796
1.6659793814432988,44373.01925426872,61462.09523505274,12866.39191373713
1.6855670103092784,44322.58899507694,60439.22689131072,13535.677731057365
1.7051546391752577,44336.15935026994,59483.46342415392,14239.23908528648
1.724742268041237,44408.32691974677,58592.41220925683,14971.781185340078
1.7443298969072165,44533.8937701149,57762.954999293805,15724.861727593528
1.7639175257731958,44707.13912777625,56990.966704285864,16497.980146554975
1.7835051546391751,44922.09761805386,56271.37310271139,17284.50647410441
1.8030927835051545,45172.79821230208,55598.532993432294,18079.137266446854
1.822680412371134,45453.45496350688,54966.81718190575,18881.670556233872
1.8422680412371133,45758.61697386754,54370.93568331147,19685.57398107985
1.8618556701030928,46083.288444736194,53806.160245570005,20489.37521727019
1.8814432989690721,46423.03365662804,53268.304346060824,21288.450158658157
1.9010309278350515,46774.08769641673,52753.79101312228,22081.185500844145
1.9206185567010308,47133.502678966215,52259.23625047712,22865.295525874295
1.9402061855670103,47499.37325479158,51781.28035885002,23638.954192869915
1.9597938144329896,47871.19567521879,51316.13393529912,24404.15241310736
1.979381443298969,48250.35637929099,50858.959597257235,25167.273158672244
1.9989690721649485,48640.1698231485,50404.153901457474,25918.456062731504
2.0185567010309278,49040.27748788229,49951.10853758223,26640.933872525362
2.038144329896907,49393.324495570836,49554.69533969175,27336.837972144593
2.0577319587628864,49398.319437447266,49495.33471963275,28013.29613054994
2.0773195876288657,49052.09201663236,49788.60101249156,28673.683441353667
2.096907216494845,48661.58665749379,50136.36465335229,29316.431290552333
2.1164948453608248,48291.74250572122,50468.43617105367,29939.627895386042
2.136082474226804,47944.758697128054,50780.10385817625,30541.32370228862
2.1556701030927834,47616.769641229985,51074.383534367706,31119.566328037472
2.175257731958763,47304.545415608154,51354.05733476671,31673.43277882577
2.1948453608247425,47005.98534694929,51620.98543733899,32203.79536662915
2.2144329896907218,46719.79356997358,51876.34821631974,32711.592184534526
2.234020618556701,46445.16433077406,52120.900942256,33196.718783600045
2.2536082474226804,46181.5259832469,52355.133117067504,33658.51741376775
2.2731958762886597,45928.54311342582,52579.34352836951,34097.16250893945
2.292783505154639,45685.84899541438,52793.643268506574,34514.78171361576
2.3123711340206183,45453.20171289278,52997.8719389344,34913.53636336067
2.3319587628865976,45230.33675295004,53191.346903740334,35292.35372446283
2.3515463917525774,45016.95851578367,53372.16544467997,35647.871287951646
2.3711340206185567,44812.88820979412,53535.00436800424,35978.58186040567
2.390721649484536,44617.81997354623,53662.97569957178,36288.9961368808
2.4103092783505153,44431.55073422869,53703.10984593716,36584.6250479762
2.4298969072164947,44253.81598222778,53602.08812353048,36867.1880540461
2.449484536082474,44084.346169772725,53432.09973433443,37134.864744554456
2.4690721649484537,43922.86619449574,53257.755623805344,37386.205221634424
2.488659793814433,43769.11669149845,53097.242973702756,37621.9502481552
2.5082474226804123,43622.83775067197,52954.49694445313,37843.42464005333
2.5278350515463917,43483.77744276904,52829.62149740438,38051.65824317418
2.547422680412371,43351.651788255345,52721.56189767145,38247.31832960298
2.5670103092783503,43226.24255700586,52628.913906024325,38431.04990783039
2.5865979381443296,43107.274054346344,52550.20889113922,38603.497986347094
2.606185567010309,42994.50012675481,52484.02390915775,38765.30710648383
2.625773195876288,42887.672864206404,52429.02496700704,38917.08988481176
2.645360824742268,42786.52977660122,52383.98218901994,39059.407074496194
2.6649484536082473,42690.82599340871,52347.77239238813,39192.81467708011
2.6845360824742266,42600.35493971289,52319.37585094523,39317.86869410653
2.7041237113402063,42514.83537168262,52297.870418768245,39435.12487841454
2.7237113402061857,42434.08606113796,52282.42457302955,39545.09269671197
2.743298969072165,42357.874069558566,52272.290168173095,39648.1813413947
2.7628865979381443,42285.99744816405,52266.79530889503,39744.78688961278
2.7824742268041236,42218.2427613864,52265.3375485528,39835.30541851623
2.802061855670103,42154.39036477652,52267.35891851367,39920.13299325077
2.821649484536082,42094.2958034733,52272.29428251936,39999.65183043402
2.8412371134020615,42037.7492586272,52279.63736562722,40074.20362597161
2.860824742268041,41984.588760991144,52288.95210283931,40144.1227035925
2.8804123711340206,41934.647415914675,52299.86358743802,40209.74338702564
2.9,41887.738990002974,52312.050137840524,40271.399999999994
