R,<1|Vd|2>
1.0,-0.0018435911254407068
1.0195876288659793,-0.0018774885552639634
1.0391752577319586,-0.0017905813889441697
1.0587628865979382,-0.0015127141392399408
1.0783505154639175,-0.0009435998668551084
1.0979381443298968,5.8756819957456186e-5
1.1175257731958763,0.0016938537645080805
1.1371134020618556,0.004240197103523243
1.156701030927835,0.008084537033757132
1.1762886597938145,0.013761557395186065
1.1958762886597938,0.022007695299758205
1.215463917525773,0.029527510487438735
1.2350515463917526,0.03798622508228669
1.254639175257732,0.048906239676019675
1.2742268041237113,0.0630932190035737
1.2938144329896908,0.08159011802359817
1.31340206185567,0.10575963325396731
1.3329896907216494,0.13738368834631237
1.352577319587629,0.178788961630446
1.3721649484536083,0.23300774440921856
1.3917525773195876,0.30398178121620667
1.4113402061855669,0.39682330413574507
1.4309278350515464,0.5181451586285986
1.4505154639175257,0.676476387911306
1.4701030927835053,0.8827882478036522
1.4896907216494846,1.151149478797063
1.5092783505154639,1.4995476619498302
1.5288659793814432,1.9509115715496135
1.5484536082474225,2.534382974737502
1.5680412371134018,3.2868956014743773
1.5876288659793816,4.255124905469792
1.6072164948453609,5.497955906159078
1.6268041237113402,7.089515466247992
1.6463917525773195,9.123059730804773
1.6659793814432988,11.715776867135226
1.6855670103092784,15.014902680204536
1.7051546391752577,19.204758756612037
1.724742268041237,24.51340064096118
1.7443298969072165,31.22125291190764
1.7639175257731958,39.67061069245486
1.7835051546391751,50.273473494208844
1.8030927835051545,63.51718941206485
1.822680412371134,79.96638297087361
1.8422680412371133,100.25592384075367
1.8618556701030928,125.06816313257195
1.8814432989690721,155.07934973843135
1.9010309278350515,190.85572270432067
1.9206185567010308,232.63982633804835
1.9402061855670103,279.93785250417477
1.9597938144329896,330.65717906161717
1.979381443298969,379.1368873498841
1.9989690721649485,411.18982608026454
2.0185567010309278,390.0348673680128
2.038144329896907,223.69270950169812
2.0577319587628864,-111.4345341317021
2.0773195876288657,-294.27116404982917
2.096907216494845,-327.2927208041383
2.1164948453608248,-303.46469204714776
2.136082474226804,-262.0332302931547
2.1556701030927834,-218.12979751283092
2.175257731958763,-177.61215094186673
2.1948453608247425,-142.48906523240885
2.2144329896907218,-113.09324434787152
2.234020618556701,-89.03479574026835
2.2536082474226804,-69.64722473397092
2.2731958762886597,-54.19897297263691
2.292783505154639,-41.995696312039115
2.3123711340206183,-32.42029815951105
2.3319587628865976,-24.946720066469396
2.3515463917525774,-19.137245137467843
2.3711340206185567,-14.632041606542131
2.390721649484536,-11.1337454967015
2.4103092783505153,-8.387178712514647
2.4298969072164947,-6.223802649203289
2.449484536082474,-4.586220996489953
2.4690721649484537,-3.3790079663075225
2.488659793814433,-2.493848577718774
2.5082474226804123,-1.8443936503271878
2.5278350515463917,-1.3668501133336894
2.547422680412371,-1.0148530039142498
2.5670103092783503,-0.7547702832289951
2.5865979381443296,-0.5621763063627121
2.606185567010309,-0.4192725803395072
2.625773195876288,-0.31304983279755905
2.645360824742268,-0.23396909686724965
2.6649484536082473,-0.17501405848384444
2.6845360824742266,-0.13100969448333066
2.7041237113402063,-0.09813105320460525
2.7237113402061857,-0.07354276160476347
2.743298969072165,-0.05514034984324104
2.7628865979381443,-0.0413584510956263
2.7824742268041236,-0.031031174139915407
2.802061855670103,-0.02328887586991696
2.821649484536082,-0.01748196339237411
2.8412371134020615,-0.013125150108993185
2.860824742268041,-0.00985538939217364
2.8804123711340206,-0.007400903638761943
2.9,-0.005558096148798326
