R,V1,V2,V3
1.0,198000.15702810837,136418.13160000002,44182.44000000001
1.0195876288659793,183351.46718139667,136418.13160000002,44182.44000000001
1.0391752577319586,169909.59696032596,136418.13160000002,44182.44000000001
1.0587628865979382,157584.72763369093,136418.13160000002,44182.44000000001
1.0783505154639175,146293.44609562284,136418.13160000002,44182.44000000001
1.0979381443298968,135958.29702635552,136418.13160000002,44182.44000000001
1.1175257731958763,126507.36605993938,136418.13160000002,44182.44000000001
1.1371134020618556,117873.89182254439,136418.13160000002,44182.44000000001
1.156701030927835,109995.90485182893,136418.13160000002,44182.44000000001
1.1762886597938145,102815.89154459012,136418.13160000002,44182.44000000001
1.1958762886597938,96280.48140726727,136418.13160000002,44182.44000000001
1.215463917525773,90340.15600249823,130553.13103332373,39603.501894564426
1.2350515463917526,84948.97809538594,123568.53649132582,34486.0635417504
1.254639175257732,80064.33960604086,117171.79549584241,30057.851920757894
1.2742268041237113,75646.7270707771,111362.74156469731,26246.089367290566
1.2938144329896908,71659.50340360159,106107.35514930655,22985.323301159984
1.31340206185567,68068.70483273925,101360.89503019468,20212.712080560897
1.3329896907216494,64842.85196436377,97075.88136605769,17870.222972903754
1.352577319587629,61952.7739977896,93205.45606782044,15893.03064130589
1.3721649484536083,59371.44518353179,89705.14736739236,14288.3369027531
1.3917525773195876,57073.83267816546,86533.56650911758,12987.413404735882
1.4113402061855669,55036.75500816462,83652.9143374612,11801.670307923088
1.4309278350515464,53238.75040912564,81029.04825600659,10991.556264770708
1.4505154639175257,51659.954357301816,78631.35136057864,10414.813000532882
1.4701030927835053,50281.9856574095,76432.68618121494,10037.37359276798
1.4896907216494846,49087.84049447774,74409.10673612478,9827.933791570083
1.5092783505154639,48061.79389831034,72539.69055448116,9770.034525016838
1.5288659793814432,47189.308107126155,70806.32644762122,9842.990325634051
1.5484536082474225,46456.94735232313,69193.5194773435,10028.613388433301
1.5680412371134018,45852.29861926701,67688.19297395503,10310.515748425356
1.5876288659793816,45363.89796968957,66279.44338521424,10684.865856029417
1.6072164948453609,44981.1620398612,64958.530069897584,11141.18121276801
1.6268041237113402,44694.324355313875,63718.53665047754,11661.483958769324
1.6463917525773195,44494.37612767778,62554.31947854013,12239.768638306796
1.6659793814432988,44373.01122227429,61462.10326704717,12866.39191373713
1.6855670103092784,44322.57500660687,60439.24087978079,13535.677731057365
1.7051546391752577,44336.13500123963,59483.48777318423,14239.23908528648
1.724742268041237,44408.28455501165,58592.45457399195,14971.781185340078
1.7443298969072165,44533.82008679094,57763.02868261776,15724.861727593528
1.7639175257731958,44707.011012908995,56991.094819153106,16497.980146554975
1.7835051546391751,44921.8749278434,56271.59579292185,17284.50647410441
1.8030927835051545,45172.411257933694,55598.91994780068,18079.137266446854
1.822680412371134,45452.78283828908,54967.48930712357,18881.670556233872
1.8422680412371133,45757.45005368013,54372.10260349888,19685.57398107985
1.8618556701030928,46081.2635574062,53808.18513289999,20489.37521727019
1.8814432989690721,46419.52214115044,53271.81586153843,21288.450158658157
1.9010309278350515,46768.00229838067,52759.876411158344,22081.185500844145
1.9206185567010308,47122.96560012383,52269.77332931951,22865.295525874295
1.9402061855670103,47481.14934463498,51799.50426900661,23638.954192869915
1.9597938144329896,47839.74517368905,51347.58443682885,24404.15241310736
1.979381443298969,48196.36955552305,50912.94642102517,25167.273158672244
1.9989690721649485,48549.02927616489,50495.29444844107,25918.456062731504
2.0185567010309278,48896.084392016084,50095.30163344844,26640.933872525362
2.038144329896907,49236.210494551065,49711.80934071151,27336.837972144593
2.0577319587628864,49568.361627708255,49325.29252937175,28013.29613054994
2.0773195876288657,49891.7347762281,48948.95825289583,28673.683441353667
2.096907216494845,50205.736499390114,48592.21481145595,29316.431290552333
2.1164948453608248,50509.95200592447,48250.226670850425,29939.627895386042
2.136082474226804,50804.11673549229,47920.74581981202,30541.32370228862
2.1556701030927834,51088.0903085677,47603.062867029985,31119.566328037472
2.175257731958763,51361.832499675824,47296.77025069905,31673.43277882577
2.1948453608247425,51625.38063031672,47001.59015397156,32203.79536662915
2.2144329896907218,51878.82737857989,46717.31440771343,32711.592184534526
2.234020618556701,52122.29727997143,46443.76799305862,33196.718783600045
2.2536082474226804,52355.91873860234,46180.740361712065,33658.51741376775
2.2731958762886597,52579.785179514074,45928.10146228125,34097.16250893945
2.292783505154639,52793.891387244694,45685.60087667627,34514.78171361576
2.3123711340206183,52998.01125003663,45453.06240179054,34913.53636336067
2.3319587628865976,53191.42507632388,45230.2585803665,35292.35372446283
2.3515463917525774,53372.209277493836,45016.9146829698,35647.871287951646
2.3711340206185567,53535.02891434543,44812.86366345294,35978.58186040567
2.390721649484536,53662.98940415629,44617.806268961736,36288.9961368808
2.4103092783505153,53703.1174330871,44431.543147078744,36584.6250479762
2.4298969072164947,53602.09226715206,44253.81183860619,36867.1880540461
2.449484536082474,53432.10198443846,44084.343919668696,37134.864744554456
2.4690721649484537,53257.75684692571,43922.86497137538,37386.205221634424
2.488659793814433,53097.243640426175,43769.11602477502,37621.9502481552
2.5082474226804123,52954.49730899578,43622.837386129315,37843.42464005333
2.5278350515463917,52829.6216973092,43483.777242864235,38051.65824317418
2.547422680412371,52721.562007589964,43351.65167833683,38247.31832960298
2.5670103092783503,52628.91396661117,43226.242496419014,38431.04990783039
2.5865979381443296,52550.20892460786,43107.27402087771,38603.497986347094
2.606185567010309,52484.02392768235,42994.500108230226,38765.30710648383
2.625773195876288,52429.024977278146,42887.6728539353,38917.08988481176
2.645360824742268,52383.9821947237,42786.529770897454,39059.407074496194
